"","siteid","Site","sticID","n_wet","n_total","prc_missing","prc_wet","tempC_mean","LeafSpecies1","LeafSpecies2","LeafSpecies3","Elm","Populus","Oak","Locust","Graminales","Elderberry","Rubrus","Forb","Shrub","Unknown","Rip_type","Sediment.Texture.Description","Percent.Rocks","Percent.Leaf.Litter","Percent.Sediment","FlowStag","project","date","rType","rep","sublocation","month","time_cst","sub_watershed","burn_area","stream_order","elevation","flow_state","conductivity","canopy_cover_percent","long","lat","stic_sublocation","stream_temp_C_1wk_avg","stream_temp_C_2wk_avg","stream_temp_C_3wk_avg","percent_wet_1wk_avg","percent_wet_2wk_avg","percent_wet_3wk_avg","twi","distance_from_outlet","drainage_area","wetted_width","slope_percent","weather","pH","crewBGC","crewMicro","alpha.cent","page.rank","imp.closeness.cent","betweenness.cent","n.nodes.in.paths","n.paths","upstream.network.length","path.length.mean","path.length.var","path.length.skew","path.length.kurt","path.degree.mean","path.degree.var","path.degree.skew","path.degree.kurt","in.eccentricity","mean.efficiency","W_Chl.a_ug_per_mL","rock_area","B_Chl.a_ug_per_cm2","Biofilm_B_Glucosidase_Activity_.umoles_hr_1_mL_1_cm_2.","Biofilm_Phospahtase_Activity_.umoles_hr_1_mL_1_cm_2.","Biofilm_N_Acetylglucosaminidase_Activity_.umoles_hr_1_mL_1_cm_2.","Water_B_Glucosidase_Activity_.umoles_hr_1_mL_1.","Water_Phospahtase_Activity_.umoles_hr_1_mL_1.","Water_N_Acetylglucosaminidase_Activity_.umoles_hr_1_mL_1.","Leaf_Litter_B_Glucosidase_Activity_.umolperhperg_DW.","Leaf_Litter_B_Glucosidase_Activity_.umolperhperg_OM.","Leaf_Litter_Phosphatase_Activity_.umolperhperg_DW.","Leaf_Litter_Phosphatase_Activity_.umolperhperg_OM.","Leaf_Litter_N_Acetylglucosaminidase_Activity_.umolperhperg_DW.","Leaf_Litter_N_Acetylglucosaminidase_Activity_.umolperhperg_OM.","Leaf_Litter_Phenol_Oxidase_Activity_.umolperhperg_DW.","Leaf_Litter_Phenol_Oxidase_Activity_.umolperhperg_OM.","Leaf_Litter_Peroxidase_Activity_.umolperhperg_DW.","Leaf_Litter_Peroxidase_Activity_.umolperhperg_OM.","Sediment_B_Glucosidase_Activity_.umolperhperg_DW.","Sediment_B_Glucosidase_Activity_.umolperhperg_OM.","Sediment_Phosphatase_Activity_.umolperhperg_DW.","Sediment_Phosphatase_Activity_.umolperhperg_OM.","Sediment_N_Acetylglucosaminidase_Activity_.umolperhperg_DW.","Sediment_N_Acetylglucosaminidase_Activity_.umolperhperg_OM.","Sediment_Phenol_Oxidase_Activity_.umolperhperg_DW.","Sediment_Phenol_Activity_.umolperhperg_OM.","Sediment_Peroxidase_Activity_.umolperhperg_DW.","Sediment_Peroxidase_Activity_.umolperhperg_OM."
"26","04M09","04m09","04M09_1",13835,56154,0.003955514,0.246376037,14.56688873,"Populus","Elm","Unknown",1,1,0,0,0,0,0,0,1,0,"Mixed",NA,NA,NA,NA,"flowing","AIMS",20210606,"ENVD",1,"SW","June","15:30","04M","N4D",2,384.8762207,"flowing",546.1,32.3,-96.581629,39.079941,"HS",15.46200594,15.59828253,15.63621096,1,1,1,15.01551914,1.8,8.4654,"1.2",2.919221629,"cloudy, hot",8.07,"Jess Wilhelm, Sarah Flynn","Kevin Kuehn, Charlie Bond",5,0.0185374181475645,93.75,40,4,4,4,2.5,1.25,0,-1.2,1.5,0.25,0,-6,4,0.0462962962962963,69.10203392,40.5,1.668,0.004389993,0.100531059,0.009524373,0.04063893,0.118660894,0,72.86123993,64.76554661,24.64257948,21.9045151,5.251697267,4.668175349,14.60812141,12.98499681,14.18925054,12.61266715,0.084309082,2.242621593,0.212581317,5.654663027,0.012892148,0.342931135,0.403007475,10.71999883,0,5.959570905
"27","04M10","04m10","04M10_1",12190,56175,0.003583021,0.217000445,13.96868678,"Elm","Populus","Populus",1,1,0,0,0,0,0,0,0,0,"Woody",NA,NA,NA,NA,"dry","AIMS",20210606,"ENVD",1,"SW","June","16:30","04M","N4D",2,393.9353333,"flowing",555,62.5,-96.58289,39.077433,"HS",15.49735513,15.61895167,15.65964608,1,1,1,14.87435055,2.1,6.5928,"0.6",2.618615199,"cloudy, hot",8.07,"Jess Wilhelm, Sarah Flynn","Kevin Kuehn, Charlie Bond",4,0.0159281945608593,82.5,33,3,3,3,2,0.666666666666667,0,NA,1.33333333333333,0.222222222222222,1.73205080756888,NA,3,0.0407407407407407,NA,33.5,0.164,0,0.121565708,0.00664096,0.041419805,0.076096283,0.067553646,54.52999916,54.52999916,47.29347416,47.29347416,12.68432946,12.68432946,18.46972866,18.46972866,81.52653665,81.52653665,0.220121535,3.27430783,0.471642759,7.015686043,0.04294528,0.638811038,0.397527039,5.913214701,0.23974886,4.72904241
"28","04M11","04m11","04M11_1",4272,56174,0.003600759,0.076049418,14.44124951,"Grass","Grass","Shrub",0,0,0,0,1,0,0,0,1,0,"Prairie","Very silty and gravel",15,20,65,"flowing","AIMS",20210607,"ENVD",1,"SW","June","13:45","04M","N4D",2,404.717041,"flowing",528.5,37.5,-96.583835,39.074718,"HS",15.80325409,15.53535316,15.59864021,1,1,1,13.76612186,2.5,2.8759,"0.57",3.458180553,"80s, sunny",8.25,"Eva Burke, Bri Richards","Charlie Bond, Harley-Payj Leatherman",3,0.0128585197529708,67.5,24,2,1,2,1.5,0.25,NA,NA,1,0,NA,NA,2,0.0333333333333333,19.96584378,54.3,0.268,0.03424522,0.199396963,0.016080893,0.017060596,0,0.020994969,23.15583218,7.718610727,37.46350085,12.48783362,2.850776087,0.950258696,27.97281147,9.324270491,25.1842446,8.394748199,0.305679038,4.585185565,0.320947721,4.814215813,0.012825694,0.192385408,0.277053382,4.155800723,0.010776736,0
"29","04M12","04m12","04M12_1",10643,40546,0.280806002,0.262491984,13.88961895,"Grass","Grass","Elm",1,0,0,0,1,0,0,0,0,0,"Prairie","Sily clay gravel",40,1,30,"flowing","AIMS",20210607,"ENVD",1,"SW","June","14:22","04M","N4D",1,407.2463074,"flowing",569.1,72.9,-96.584063,39.073158,"HS",15.04872214,15.04682528,15.21936239,1,1,1,14.38844585,2.7,2.2526,"2.7",1.45519363,"80s, hot as heck",8.21,"Bri Richards, Eva Burke, Sam Thomas","Lydia Zeglin, Charlie Bond, Harley-Payj Leatherman",2,0.00924713762604314,45,13,1,0,1,1,0,NA,NA,0,0,NA,NA,1,0.0222222222222222,138.4690968,83.6,0.179,0.008142936,0.173609946,0.009017896,0.087616822,0,0.007305976,60.7076994,45.53077455,50.6928436,38.0196327,8.394805594,6.296104195,25.8647877,19.39859078,59.26949507,44.4521213,0.107208337,0.921991701,0.32090307,2.759766405,0.011069772,0.095200041,0.637444617,5.482023703,0.357468078,0
"30","04M13","04m13","04M13_1",4719,51568,0.085300743,0.091510239,17.22484603,"Elm","Forb","Grass",1,0,0,0,1,0,0,1,0,0,"Prairie","Silty clay loam",50,4,35,"dry","AIMS",20210607,"ENVD",1,"SW","June","16:13","04M","N4D",1,407.2463074,"dry",NA,50,-96.584299,39.070814,"HS",20.93713224,19.98362082,20.19476903,0.185735513,0.189591078,0.290826285,14.38844585,2.93,2.2526,"",1.45519363,"80s, sunny",NA,"Bri Richards, Eva Burke, Sam Thomas","Lydia Zeglin, Charlie Bond, Harley-Payj Leatherman",1,0.00499845277083413,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,52.1,0.552,0.187438992,0.776497554,0.009929169,NA,NA,NA,41.50874995,46.69734369,16.06356862,18.0715147,8.624242926,9.702273291,5.580964201,6.278584726,4.512268928,5.076302544,0.646166751,3.656358198,1.299235149,7.351769622,0.174362457,0.986636339,0.648521858,3.669684659,0.100763657,0
"31","04T01","04t01","04T01_1",2611,44751,0.206218848,0.058345065,16.84455476,"Elm","Elm","Grass",1,0,0,0,1,0,0,0,0,0,"Prairie","Silty clay",60,1,40,"dry","AIMS",20210604,"ENVD",1,"SW","June","9:36","04M","N4B",1,379.5954285,"dry",NA,10.4,-96.584301,39.082362,"HS",16.21178306,17.83773419,17.83773419,0.621099554,0.68694956,0.68694956,14.6586132,1.45,6.65,"",3.276013653,"80s",NA,"Bri Richards, Eva Burke, Sam Thomas","Lydia Zeglin, Charlie Bond, Harley-Payj Leatherman",1,0.00499845277083413,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,57.1,0.044,0.020698746,0.206249314,0.000399995,NA,NA,NA,2.561952578,8.474150834,1.523156038,5.03813151,0.592910988,1.961167114,2.52444319,8.350081321,3.259069515,10.77999917,0.197378702,2.289592941,0.373905529,4.337304138,0.016376815,0.18997105,0.393355308,4.562921571,0,0
"32","04T02","04t02","04T02_1",7052,19708,0.650424819,0.357824234,13.64136087,"Grass","Grass","Elm",1,0,0,0,1,0,0,0,0,0,"Prairie","Sandy silt and OM",40,20,40,"flowing","AIMS",20210607,"ENVD",1,"SW","June","11:00","04M","N4B",1,387.0223694,"flowing",546.1,1,-96.580834,39.079705,"HS",16.33662478,16.26803092,16.36318086,1,1,1,13.50106335,1.8,3.6848,"",5.763167458,"80s",8.25,"Bri Richards, Eva Burke, Sam Thomas","Lydia Zeglin, Charlie Bond, Harley-Payj Leatherman",1,0.00499845277083413,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,16.13153125,50.9,0.389,0.028348403,0.247042051,0.013527639,0.071627979,0.149517739,0,46.6473029,46.6473029,31.51659751,31.51659751,1.780082988,1.780082988,22.62772632,22.62772632,32.90633403,32.90633403,0.163973351,1.929098249,0.419473646,4.934984065,0.010832179,0.127437399,0.373848284,4.39821511,0.194316172,0
"33","04W01","04w01","04W01_1",1484,38281,0.320981961,0.038765967,16.93138084,"Populus","Populus","Oak",0,1,1,0,0,0,0,0,0,0,"Woody","Sandy silty loam",90,1,10,"dry","AIMS",20210607,"ENVD",1,"SW","June","8:40","04W","N2B",1,360.5698242,"dry",NA,64.6,-96.58543,39.08816,"HS",19.60074294,18.54882528,18.55940143,0.684992571,0.842379182,0.862068966,14.72917557,0.6,7.6246,"dry",3.499689997,"hot, sunny",NA,"Sarah Flynn, Jess Wilhelm, Kaci Zarek","Ken Aho, Michael J Braus",3,0.0128585197529708,67.5,6,2,1,2,1.5,0.25,NA,NA,1,0,NA,NA,2,0.0333333333333333,NA,75,0.027,0.008607561,0.06979306,0,NA,NA,NA,9.919322615,10.31609552,13.9093879,14.46576342,2.098253163,2.18218329,3.947685457,4.105592876,1.842253213,1.915943342,0.126470537,3.651836754,0.164100473,4.738401157,0.006884675,0.198794991,0.326366581,9.423835013,0,0
"34","04W02","04w02","04W02_1",310,11571,0.794756727,0.026791116,10.43837438,"Elm","Elm","Populus",1,1,0,0,0,0,0,0,0,0,"Woody","Silty clay loam",60,1,40,"flowing","AIMS",20210607,"ENVD",1,"SW","June","9:44","04W","N2B",1,370.9928284,"flowing",541.2,95.8,-96.58689,39.08609,"HS",16.4933581,16.48085502,16.58824333,1,1,1,14.14491558,0.88,6.1046,"1.1",5.019240788,"warm, sunny",8.08,"Sarah Flynn, Jess Wilhelm, Kaci Zarek","Ken Aho, Michael J Braus",2,0.00924713762604314,45,4,1,0,1,1,0,NA,NA,0,0,NA,NA,1,0.0222222222222222,0,56.5,0.036,0.003030248,0.015253843,0.008835542,0,0.099049502,0,37.42050785,37.42050785,9.894235973,9.894235973,11.5432753,11.5432753,12.05654642,12.05654642,4.977892272,4.977892272,0.165970331,3.15343629,0.547762887,10.40749486,0.018643798,0.35423216,1.159279415,22.02630889,0.694824615,10.97862145
"35","04W03","04w03","04W03_1",2048,18654,0.669120386,0.109788785,13.10413263,"Elderberry","none","none",0,0,0,0,0,1,0,0,0,0,"Mixed","Sandy",80,1,20,"flowing","AIMS",20210607,"ENVD",1,"SW","June","10:44","04W","N2B",1,382.2555237,"flowing",555.9,34.4,-96.58803867,39.08385954,"HS",17.07074294,16.9175539,16.97934938,1,1,1,13.66539764,1.2,4.2006,"2",5.575492804,"suuny, warm",8.16,"Sarah Flynn, Jess Wilhelm, Kaci Zarek","Ken Aho, Michael J Braus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.79008235,75,0.019,0.002703704,0.05206687,0.002724692,0.066185319,0,0.01426985,29.6469187,29.6469187,30.26548333,30.26548333,25.90607551,25.90607551,11.88253162,11.88253162,4.008564884,4.008564884,0.061444833,1.609854613,0.176284956,4.618665856,0.010106646,0.264794136,0.705090042,18.4733591,0,0.319394284
